,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
172,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",decreasing,2,0.344
173,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",decreasing,3,0.0
174,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",centred,1,1.0
175,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",centred,2,0.392
176,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",centred,3,0.0
177,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",ost,1,0.09
178,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",ost,2,0.042
179,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-6, -2)",ost,3,0.046
180,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",uniform,1,1.0
181,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",uniform,2,0.48
182,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",uniform,3,0.006
183,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",increasing,1,1.0
184,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",increasing,2,0.428
185,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",increasing,3,0.002
186,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",decreasing,1,1.0
187,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",decreasing,2,0.412
188,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",decreasing,3,0.004
189,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",centred,1,1.0
190,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",centred,2,0.56
191,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",centred,3,0.002
192,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",ost,1,0.212
193,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",ost,2,0.046
194,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-4, 0)",ost,3,0.048
195,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",uniform,1,1.0
196,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",uniform,2,0.552
197,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",uniform,3,0.004
198,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",increasing,1,1.0
199,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",increasing,2,0.32
200,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",increasing,3,0.014
201,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",decreasing,1,1.0
202,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",decreasing,2,0.62
203,1: uniform alternative,2.0,500,2000,2000,wild bootstrap,laplace,"(-2, 2)",decreasing,3,0.004
